commu_area,count
56,1114
77,1357
54,1
42,85
48,55
43,85
60,195
61,24
62,38
63,7
64,28
49,70
66,10
67,10
68,23
69,56
52,23
53,22
24,4709
25,86
26,13
27,30
20,11
21,573
22,2608
23,76
46,24
47,0
44,125
45,16
28,5312
29,60
40,40
41,859
1,394
3,1290
2,195
5,956
4,972
7,4283
6,7447
9,32
8,15642
51,40
39,92
65,68
76,47
75,85
38,73
73,27
72,98
71,18
70,34
59,84
58,48
11,152
10,173
13,113
12,55
15,217
14,120
17,41
16,362
19,101
18,17
31,539
30,84
37,18
36,7
35,101
34,917
33,1865
55,12
74,9
32,8851
57,27
50,30
