commu_area,count
56,983
77,589
54,1
42,70
48,50
43,65
60,132
61,21
62,34
63,7
64,24
49,54
66,10
67,9
68,22
69,50
52,21
53,21
24,1757
25,69
26,11
27,30
20,10
21,397
22,1160
23,73
46,22
47,0
44,88
45,14
28,2396
29,57
40,38
41,458
1,220
3,765
2,150
5,617
4,528
7,1978
6,2443
9,27
8,4253
51,37
39,70
65,55
76,39
75,59
38,69
73,23
72,71
71,15
70,31
59,65
58,36
11,101
10,134
13,91
12,43
15,129
14,93
17,35
16,257
19,58
18,16
31,326
30,72
37,18
36,7
35,82
34,675
33,1299
55,9
74,8
32,3311
57,26
50,24
