commu_area,count
56,37
77,158
54,1
42,12
48,8
43,15
60,35
61,6
62,8
63,3
64,6
49,11
66,2
67,3
68,6
69,15
52,3
53,3
24,389
25,19
26,4
27,7
20,3
21,55
22,207
23,12
46,7
47,0
44,16
45,5
28,418
29,6
40,6
41,99
1,58
3,117
2,34
5,109
4,110
7,378
6,564
9,8
8,950
51,8
39,17
65,12
76,11
75,15
38,12
73,6
72,18
71,5
70,9
59,12
58,8
11,22
10,25
13,20
12,12
15,40
14,27
17,11
16,53
19,23
18,3
31,63
30,13
37,3
36,2
35,20
34,54
33,102
55,2
74,3
32,660
57,4
50,5
