commu_area,user_cnt,venue_cnt,check-ins,KIDNAPPING,PUBLIC PEACE VIOLATION,INTERFERENCE WITH PUBLIC OFFICER,PROSTITUTION,LIQUOR LAW VIOLATION,ROBBERY,BURGLARY,MOTOR VEHICLE THEFT,OTHER NARCOTIC VIOLATION,HOMICIDE,OBSCENITY,WEAPONS VIOLATION,OTHER OFFENSE,CRIMINAL DAMAGE,THEFT,OFFENSE INVOLVING CHILDREN,GAMBLING,PUBLIC INDECENCY,NON-CRIMINAL (SUBJECT SPECIFIED),ARSON,NARCOTICS,SEX OFFENSE,INTIMIDATION,DECEPTIVE PRACTICE,BATTERY,NON - CRIMINAL,CRIMINAL TRESPASS,STALKING,ASSAULT,CRIM SEXUAL ASSAULT,NON-CRIMINAL
1,209,58,367,9,142,81,47,46,589,657,408,0,14,3,172,1063,1602,3187,76,15,0,0,17,1322,77,9,501,2850,0,535,9,926,58,0
10,121,25,157,7,32,7,3,6,40,309,120,0,1,0,11,362,651,1151,39,0,0,0,6,126,27,3,226,624,0,103,2,238,13,0
11,94,22,142,2,17,8,2,7,71,381,197,0,3,1,15,357,582,988,58,0,0,0,4,203,9,3,203,589,0,128,7,186,7,0
12,39,12,51,3,7,3,0,1,14,281,65,0,0,0,2,122,268,438,8,0,0,0,2,47,4,0,106,166,0,29,2,68,3,0
13,83,20,103,3,15,4,6,10,75,391,170,0,1,2,16,205,420,919,25,3,0,0,1,130,16,2,101,370,0,65,3,137,12,0
14,86,27,110,5,83,21,29,33,365,701,608,0,11,0,69,554,1220,1777,74,3,0,0,21,584,43,8,253,1590,0,159,3,447,32,0
15,125,40,209,12,79,38,4,38,295,1051,877,0,9,0,79,936,1585,3089,93,0,0,0,19,855,47,8,455,1910,0,266,8,676,31,0
16,238,53,333,6,160,23,5,32,375,1157,1147,0,7,0,58,671,1593,2584,65,1,1,0,17,660,50,5,360,1899,0,189,11,551,43,0
17,33,11,38,10,24,17,1,6,97,666,366,0,2,1,17,515,880,1324,40,2,0,0,6,252,25,2,259,874,0,126,2,357,14,0
18,16,3,17,2,14,3,1,3,43,271,216,0,0,0,11,191,334,454,21,1,0,0,3,93,9,1,63,359,0,33,1,121,5,0
19,56,23,99,14,150,109,179,57,656,1644,1468,0,16,2,185,1320,2366,3572,183,1,1,0,53,1462,70,17,583,3233,0,333,9,1091,92,0
