FakeID,uid,Count
1,65621232,5
2,31904054,42
3,2620367,4
4,13125875,17
5,51634002,40
6,544569,3
7,14311672,6
8,61178,10
9,7937326,4
10,21956611,4
11,7179261,6
12,23996578,5
13,28916261,3
14,4043535,4
15,42278201,3
16,1501624,13
17,4234531,5
18,33931585,20
19,1648908,3
20,5640315,4
21,4812297,6
22,6173792,31
23,10231569,3
24,33678222,3
25,5468892,5
26,5629907,5
27,12892835,5
28,95795,5
29,4091818,58
30,1267249,36
31,18312353,3
32,11196180,12
33,11107056,5
34,13982661,7
35,14509164,54
36,1872183,3
37,8050407,4
38,14508186,5
39,27651898,3
40,514918,3
41,458807,11
42,49306,3
43,11133233,5
44,1001904,7
45,23166356,5
46,22231838,9
47,4340461,3
48,1680159,8
49,10910621,4
50,600586,9
51,48127806,16
52,45273153,7
53,57794345,35
54,34019053,17
55,175265,12
56,29373180,14
57,30417,3
58,7945008,3
59,10381826,4
60,14106209,5
61,534612,3
62,53420103,15
63,11657148,4
64,54380850,32
65,4185621,7
66,32311134,22
67,1457085,31
68,19864130,31
69,945100,8
70,10035103,36
71,56224714,3
72,32357783,4
73,226871,4
74,9143208,5
75,13425409,3
76,6998115,10
77,34248482,7
78,46631844,14
79,8729617,13
80,14557942,19
81,58435906,3
82,26277583,5
83,2349437,25
84,25200414,27
85,70116488,9
86,1882094,23
87,8960115,3
88,86072017,5
89,41064201,11
90,57044283,17
91,32910379,3
92,11064672,8
93,34722083,6
94,3008028,16
95,24063427,9
96,40292904,8
97,17543708,5
98,9358052,6
99,60261706,4
100,591912,7
101,46315172,8
102,29587052,8
103,75739030,19
104,40857987,12
105,21891636,4
106,642303,4
107,1027983,10
108,48918279,5
109,1274828,3
110,4155556,20
111,14282480,4
112,2987959,6
113,6150300,12
114,31908,6
115,6247334,5
116,5846,73
117,6688596,9
118,73726038,3
119,17104407,9
120,17620,3
121,8330107,78
122,11940229,8
123,393989,24
124,14747281,15
125,138722,33
126,47766710,13
127,64525725,30
128,1714995,3
129,8767268,9
130,6809102,4
131,499720,3
132,997942,3
133,570483,8
134,80237832,7
135,4830271,15
136,6063007,3
137,4187147,10
138,54103842,3
139,6973693,7
140,8234555,61
141,1129644,6
142,2531075,32
143,1092756,8
144,9575946,4
145,34441018,4
146,2519776,7
147,195306,42
148,11243971,6
149,1135186,21
150,17314557,4
151,2540007,17
152,54412,13
153,5546063,7
154,40974256,4
155,11928282,3
156,621004,4
157,27203149,5
158,15336647,5
159,4913286,4
160,40007690,3
161,1153511,4
162,57980820,40
163,1090537,9
164,27447181,22
165,18188575,3
166,49624990,7
167,31445922,6
168,2583554,12
169,28879124,3
170,29871113,3
171,44653211,20
172,16841725,7
173,723049,3
174,19874199,3
175,435846,95
176,53406905,3
177,62066677,12
178,1389286,3
179,29052381,7
180,83128816,3
181,68449556,43
182,34019269,10
183,48254550,3
184,7720183,15
185,322070,15
186,11744963,10
187,22016920,19
188,892139,21
189,48448591,15
190,707536,4
191,294835,3
192,32644060,16
